level,word,part_of_speech,definition,synonyms,more_synonyms
11,climb,v,go upward with gradual or continuous progress,"climb, climb up, mount, go up",
11,cloud,n,"any collection of particles (e.g., smoke or dust) or gases that is visible",cloud,"mass, crowd, fog, confuse, state of great happiness, large ominous cloud"
11,cluster,n,a grouping of a number of similar things,"bunch, clump, cluster, clustering","group, assemble, collection, collection, congregation, group"
11,coalition,n,an organization of people (or countries) involved in a pact or treaty,"alliance, coalition, alignment, alinement","alliance, association, association, group, association, combination"
11,colleague,n,an associate that one works with,"colleague, co-worker, fellow worker, workfellow","associate, accomplice, conspirator, contact, friend, helper"
11,collective,adj,done by or characteristic of individuals acting together,"corporate, collective","composite, cooperative farm, collective, known, family, unified"
11,combat,n,an engagement fought between two military forces,"combat, armed combat","battle, fight, military boot, psychological disorder caused by stress from war, military area of war, encounter"
11,comfortable,adj,providing or experiencing physical well-being or relief (`comfy’ is informal),"comfortable, comfy","cozy, wealthy, enough, ample, spacious, abundant"
11,communicate,v,transmit information,"communicate, pass on, pass, pass along, put across","inform, exchange, link, confess, publicize, declare"
11,compensation,n,something (such as money) given or received as payment or reparation (as for a service or loss or injury),compensation,
11,compete,v,compete for something; engage in a contest; measure oneself against others,"compete, vie, contend","challenge, equate, fight, copy, maintain, do"
11,comply,v,"act in accordance with someone’s rules, commands, or wishes","comply, follow, abide by","abide by, agree, consent, conform, agree, adjust"
11,compound,v,"make more intense, stronger, or more marked","intensify, compound, heighten, deepen","combination, combine, complicate, blending, mixture, mix"
11,comprise,v,be composed of,"consist, comprise","make up, make up, include, made up of, include, include"
11,concentrate,v,"make denser, stronger, or purer",concentrate,"think, gather, shorten, gather, focus, point"
11,concentration,n,the strength of a solution; number of molecules of a substance in a given volume,concentration,"consolidation, aggregation, prison camp for prisoners of war or political prisoners, engrossment, work, carefulness"
11,conclude,v,decide by reasoning; draw or come to a conclusion,"reason, reason out, conclude","finish, decide, settle, succeed, accomplish, coordinate"
11,concrete,n,a strong hard building material composed of sand and gravel and cement and water,concrete,"factual, hardened, urban area, precise, real, urban area"
11,confidence,n,freedom from doubt; belief in yourself and your abilities,"assurance, self-assurance, confidence, self-confidence, authority, sureness","nerve, hope, con job, con man, self assurance, confidence"
11,confuse,v,mistake one thing for another,"confuse, confound","bewilder, mix up, disturb, amaze, perplex, fool"
11,confuse,v,be confusing or perplexing to; cause to be unable to think clearly,"confuse, throw, fox, befuddle, fuddle, bedevil, confound, discombobulate","bewilder, mix up, disturb, amaze, perplex, fool"
11,consent,n,permission to do something,consent,"agreement, agree, legal age, stand, agree, agreement"
11,consequence,n,a phenomenon that follows and is caused by some previous phenomenon,"consequence, effect, outcome, result, event, issue, upshot","result, importance, status, suitably, repercussion, side product"
11,conservation,n,an occurrence of improvement by virtue of preventing loss or injury or other change,"conservation, preservation","preservation, supervision, environmental science, economizing, sustenance, protection"
11,conservative,adj,resistant to change,conservative,"moderate, moderate, commonplace, cautious, unoriginal, protective"
11,considerable,adj,large or relatively large in number or amount or extent or degree,considerable,"abundant, important, huge, large, important, significant"
11,console,v,give moral or emotional strength to,"comfort, soothe, console, solace","comfort, please, calm, console, calm, instrument panel"
11,consolidate,v,unite into one,consolidate,"combine, blend, group, concentrate, concentrate, clot"
11,consolidation,n,combining into a solid mass,consolidation,"combination, blockage, clotting, alliance, mixture, association"
11,constraint,n,the state of being physically constrained,"constraint, restraint","force, shyness, confinement, capture, stop, detention"
11,construct,v,make by combining materials and parts,"construct, build, make","build, plan, put together, build on, make up, comprise"
11,consultation,n,a conference (usually with someone important),"consultation, audience, interview","conference, recommendation, meeting, hearing, convention, dialogue"
11,consumption,n,the process of taking food into the body through the mouth (as by eating),"consumption, ingestion, intake, uptake","use, taking in, shortening, collapse, deterioration, tiredness"
11,contrast,n,the opposition or dissimilarity of things that are compared,"contrast, direct contrast","difference, differ, opposite to, opposite, differ, sort"
11,convenient,adj,suited to your comfort or purpose or needs,convenient,"useful, nearby, accessible, suitable, ready, near"
11,convince,v,"make (someone) agree, understand, or realize the truth or validity of something","convert, win over, convince","persuade, convert, cause, dislodge, change belief, persuade"
11,convince,,Synonyms:,"More Synonyms: persuade, convert, cause, dislodge, change belief, persuade","persuade, convert, cause, dislodge, change belief, persuade"
11,cooperative,adj,involving the joint activity of two or more,"concerted, conjunct, conjunctive, cooperative",
11,coordinate,v,bring order and organization to,"organize, organise, coordinate","equivalent, relate, position on globe, conform, coordinate, arrange"
11,cosmetic,n,a toiletry designed to beautify the body,cosmetic,"beautifying, plastic surgery, lotion, something that freshens, small amount, solution"
11,crisis,n,an unstable situation of extreme danger or difficulty,crisis,"danger, midlife depression, feeling of anxiety, circumstance, end of menstrual cycle, situation"
11,critic,n,a person who is professionally engaged in the analysis and interpretation of works of art,critic,"analyst, faultfinder, fault-finding, critical, reporter, authority"
11,cure,v,"provide a cure for, make healthy again","bring around, cure, heal","solution, heal, age food, panacea, counteraction, comfort"
11,dangerous,adj,involving or causing danger or risk; liable to hurt or harm,"dangerous, unsafe","hazardous, important, risk-taking, difficult, harmful, contagious"
11,decade,n,a period of 10 years,"decade, decennary, decennium","duration, the 1920s era"
11,declaration,n,a statement that is emphatic and explicit (spoken or written),declaration,"assertion, proclamation, recognition, confession, notice, declaration"
11,decline,v,grow worse,"worsen, decline",
11,defend,v,argue or speak in defense of,"defend, support, fend for","protect, support, certify, support, reply, appeal"
11,definite,adj,precise; explicit and clearly defined,definite,"exact, fixed, certain, precise, correct, real"
11,density,n,the amount per unit size,"density, denseness","bulk, frequency distribution, thickness, study of human population, stiffness, repetitiveness"
11,deny,v,declare untrue; contradict,deny,"disagree, hold back, reply, prohibit, disprove, ignore"
11,departure,n,the act of departing,"departure, going, going away, leaving","leaving, deviation, difference, deviation, comment, eluding"
11,dependent,adj,"relying on or requiring a person or thing for support, supply, or what is needed",dependent,"helpless, contingent, unhealthy psychological reliance of one person on another, dependent, word that modifies a noun, bum"
11,derive,v,reason by deduction; establish by deduction,"deduce, infer, deduct, derive","deduce, come from, happen, build on, glory, happen"
11,derive,v,obtain,"derive, gain","deduce, come from, happen, build on, glory, happen"
11,desert,v,leave someone who needs or counts on you; leave in the lurch,"abandon, forsake, desolate, desert","barren, wasteland, abandon, virtue triumphing over vice, desert, dry"
11,deserve,v,be worthy or deserving,,
11,destroy,v,"do away with, cause the destruction or undoing of","destroy, destruct","demolish, eliminate, strike, explode, detonate, cut meat"
11,detect,v,"discover or determine the existence, presence, or fact of","detect, observe, find, discover, notice","discover, discover, suggest, discover, recognize, find"
11,determination,n,"the act of determining the properties of something, usually by research or calculation","determination, finding","perseverance, conclusion, judgment, settlement, evaluation, giving"
11,diagnosis,n,identifying the nature or cause of some phenomenon,"diagnosis, diagnosing","identification, science, account, description, finding, differentiation"
11,dialogue,n,a conversation between two persons,"dialogue, dialog, duologue","talk, conversation, conference, talk, overcompliment, questioning"
11,differ,v,be different,differ,"be distinct, clash, fight, differ, grumble, differ"
11,difficulty,n,an effort that is inconvenient,"trouble, difficulty","problem, burden, argument, bad luck, hurt, annoyance"
11,digest,v,convert food into absorbable substances,digest,"abridgement, take in, shorten, understand, endure, shorten"
11,discharge,n,the sudden giving off of energy,discharge,"freeing, dismissal, detonation, pouring, unloading, carrying out"
11,discipline,v,develop (children’s) behavior by instruction and practice; especially to teach self-control,"discipline, train, check, condition","training, punishment, interest, abstinence, control, nurture"
11,disclosure,n,the speech act of making something evident,"disclosure, revelation, revealing","revelation, confession, proclamation, reply, divulgence, information"
11,dispatch,v,send away towards a designated goal,"dispatch, despatch, send off","speed, communication, send, finish, kill, case for carrying papers, documents and other valuables"
11,dispute,v,take exception to,"challenge, dispute, gainsay","argument, argue, disturb, fight, reply, fight"
11,distinguish,v,mark as different,"distinguish, separate, differentiate, secern, secernate, severalize, severalise, tell, tell apart","judge, identify, make famous, glorify, look at, categorize"
11,diverse,adj,many and different,"divers, diverse","different, multifaceted, various, dissimilar, separate, various"
11,diversity,n,noticeable heterogeneity,"diverseness, diversity, multifariousness, variety","variety, variety, alteration, difference, distinctness, difference"
11,drama,n,a dramatic work intended for performance by actors on a stage,"play, drama, dramatic play","theatrical piece; acting, turmoil in real life, entertainment, creation, enthusiasm, story"
11,dramatic,adj,suitable to or characteristic of drama,dramatic,"exciting, beautiful, theatrical piece; acting, articulation, wittiness, exhilarating"
11,duration,n,the period of time during which something continues,"duration, continuance","length, period, addition, progression, duration, time"
11,ease,v,move gently or carefully,ease,"peace, facility, help, guide, satisfy, make less"
11,efficiency,n,the ratio of the output to the input of any system,efficiency,"effectiveness, expert in increasing productivity, preciseness, power, ability, ability"
11,elect,v,select by a vote for an office or membership,elect,"select, excellent, pick out, assign, designate, demand"
11,elementary,adj,easy and not involved or complicated,"elementary, simple, uncomplicated, unproblematic","basic, primary school, not difficult, rudimentary, basic, earliest"
11,eliminate,v,"terminate, end, or take out","extinguish, eliminate, get rid of, do away with","throw out, eliminate, remove, murder, dismiss, dismiss from service"
11,elite,n,a group or class of persons enjoying superior intellectual or social or economic status,"elite, elite group","first-class, high class, upper class, privileged, privileged, expert"
11,embed,v,fix or set securely or deeply,"implant, engraft, embed, imbed, plant","implant, plant, plant, carve, establish, join"
11,emerge,v,"come out into view, as from concealment",emerge,"come out, emerge, happen, evolve, happen, arise"
11,emotional,adj,determined or actuated by emotion rather than reason,emotional,
11,emphasis,n,special importance or significance,"emphasis, accent","importance, importance, stress, articulation, overstatement, verbalization"
11,encounter,v,come together,"meet, run into, encounter, run across, come across, see","meeting, fight, happen upon, fight, encounter, insult"
11,enemy,n,an opposing military force,enemy,"foe, common enemy, opponent, hate, problem, attacker"
11,enroll,v,register formally as a participant or member,"enroll, inscribe, enter, enrol, recruit","sign up, list, designate, delegate, enroll, use"
11,equip,v,provide with (something) usually for a specific purpose,"equip, fit, fit out, outfit","ready, add ornament, furnish, clothe, cover, carry out"
11,era,n,a period marked by distinctive character or reckoned from a fixed point or event,"era, epoch","period, age group, period, in the year of our Lord, phase, time"
11,erotic,adj,giving sexual pleasure; sexually arousing,"erotic, titillating","sexy, dance that stimulates erotic thoughts, dancer who provides erotic entertainment, affectionate, affectionate, seductive; inducing sex"
11,escape,v,run away from confinement,"escape, get away, break loose","getaway, break free, legal provision to get out of a contract, strategy to avoid unpleasant realities, emergency exit, leave"
11,escort,v,accompany as an escort,escort,"accompaniment, guard, escort, escort, server, boyfriend"
11,essay,n,an analytic or interpretive literary composition,essay,"dissertation, attempt, attempt, point, writing, try"
11,establishment,n,the act of forming or establishing something,"constitution, establishment, formation, organization, organisation","creation, business, bureaucracy, expert, administration, enterprise"
11,ethic,n,the principles of right and wrong that are accepted by an individual or a social group,"ethic, moral principle, value-system, value orientation","moral philosophy, values, morality, principles, law, morals, belief, morality; morals"
11,ethnic,adj,denoting or deriving from or distinctive of the ways of living built up by a group of people,"cultural, ethnic, ethnical","cultural, mass killing of an ethnic group, relations, mass extermination, mass killing, doctrine acknowledging contributions and interests of many cultures"
11,eventual,adj,expected to follow in the indefinite future from causes already operating,eventual,"future, approaching, last, expected, roundabout, final"
11,evolution,n,a process in which something passes by degrees to a different stage (especially a more advanced or mature stage),"development, evolution","progress, growth, growth, composition, development, development"
11,excel,v,distinguish oneself,"excel, stand out, surpass","surpass, defeat, defeat, improve, better, outdo"
11,excerpt,v,take out of a literary work in order to cite or copy,"excerpt, extract, take out","citation, take part, collection, piece, select, quote"
11,excess,n,a quantity much larger than is needed,"excess, surplus, surplusage, nimiety",
11,execute,v,kill as a means of socially sanctioned punishment,"execute, put to death","kill, carry out, accomplish, do, behave, manage"
11,expansion,n,the act of increasing (something) in size or volume or quantity or scope,"expansion, enlargement","growth, growth, economic growth, accessory, increase, improving"
11,expensive,adj,high in price or charging high prices,expensive,"high-priced, superior, extravagant, indulgent, excellent, extreme"
11,experimental,adj,relating to or based on experiment,experimental,"exploratory, avant-garde film, unconventional, being tested, practical; based on experience, practical"
11,expire,v,lose validity,"run out, expire","end, breathe out, pass away, inhale, pass away, die"
11,explicit,adj,precisely and clearly expressed or readily observable; leaving nothing to implication,"explicit, expressed","specific, precise, straightforward, full, neat, understandable"
11,expose,v,expose or make accessible to some action or influence,expose,"disclosure, reveal, endanger, incrimination, confess, publicize"
11,extensive,adj,large in spatial extent or range or scope or quantity,"extensive, extended","far-reaching, broad in scope, sufficient, large, wide, ample"
11,extract,v,"remove, usually with some force or effort; also used in an abstract sense","extract, pull out, pull, pull up, take out, draw out",
11,facilitate,v,make easier,"facilitate, ease, alleviate","assist, help, help, guide, allow, rush"
11,familiar,adj,well known or easily recognized,familiar,"common, knowledgeable, friendly, up-to-date, prepared, familiarize"
11,fantastic,adj,ludicrously odd,"antic, fantastic, fantastical, grotesque","strange, enormous, wonderful, wild, unrealistic, deceptive"
11,fault,n,a wrong action attributable to bad judgment or ignorance or inattention,"mistake, error, fault","blame, defect, critical, deserving blame, failure, exploitation"
11,fiber,n,a slender and greatly elongated substance capable of being spun into yarn,"fiber, fibre","strand, good character, character, indispensable content, hair, entanglement"
11,fiscal,adj,involving financial matters,"fiscal, financial","monetary, 12 month accounting period, twelve-month period, business, financial, monetary"
11,flavor,n,the general atmosphere of a place or situation and the effect that it has on people,"spirit, tone, feel, feeling, flavor, flavour, look, smell","taste, aura, season, added ingredient, style, mood"
11,flood,v,fill quickly beyond capacity; as with a liquid,"deluge, flood, inundate, swamp","flow, submerge, rising tide, sudden rainfall, overflowing, mass"
11,flood,n,the rising of a body of water and its overflowing onto normally dry land,"flood, inundation, deluge, alluvion",
11,formation,n,an arrangement of people or things acting as a unit,formation,"composition, shape, structure, soldiers, collection, structure"
11,foster,v,promote the growth of,"foster, further","promote, care for, care for, promote, excite, pamper"
11,founder,n,inflammation of the laminated tissue that attaches the hoof to the foot of a horse,"laminitis, founder","establisher, fail, predecessor, fall apart, inventor, dismay"
11,franchise,n,an authorization to sell a company’s goods or services in a particular place,franchise,"authority, voting, shop, complete authority, agreement, choosing"
11,fraud,n,intentional deception resulting in injury to another person,fraud,"deception, deceiver, changed, boast, swindler, trick"
11,freeze,v,stop moving or become immobilized,"freeze, stop dead","make cold, stop, stick, stop, prohibit, ending"
11,fundamental,adj,serving as an essential component,"cardinal, central, fundamental, key, primal","basic, basic, principle, understood, fundamental, belief"
11,gather,v,assemble or get together,"gather, garner, collect, pull together","group, infer, harvest, increase, increase, gather"
11,genuine,adj,not fake or counterfeit,"genuine, echt","authentic, honest, certain, precise, correct, real"
11,globe,n,the 3rd planet from the sun; the planet we live on,,
11,gourmet,n,a person devoted to refined sensuous enjoyment (especially good food and drink),"epicure, gourmet, gastronome, bon vivant, epicurean, foodie","food lover, one who lives well, cook, authority, luxury- loving, lover of food"
11,govern,v,bring into conformity with rules or principles or usage; impose regulations,"regulate, regularize, regularise, order, govern","rule, influence, manage, check, rule, administer"
11,grace,n,(Christian theology) a state of sanctification by God; the state of one who is under such divine influence,"grace, saving grace, state of grace","charm, forgiveness, prayer, beautify, finishing blow, merciful deathblow"
11,graceless,,Synonyms:,"More Synonyms: clumsy, clumsy, savage, awkward, tactless, unsophisticated, unreligious","clumsy, clumsy, savage, awkward, tactless, unsophisticated, unreligious"
11,grill,n,a restaurant where food is cooked on a grill,"grillroom, grill","broil, ask, charcoal grill, question, cook, grill"
11,guardian,n,a person who cares for persons or property,"defender, guardian, protector, shielder","protector, personal angel, guardian, protector, defeater, environmental activist"
11,guidance,n,something that provides direction or advice as to a decision or course of action,"guidance, counsel, counseling, counselling, direction","counselling, management, recommendation, help, protection, informing"
11,habitat,n,the type of environment in which an organism or group normally lives or occurs,"habitat, home ground","residence, residence, home, surroundings, estate, social place"
11,harm,n,any physical damage to the body caused by violence or accident or fracture etc.,"injury, hurt, harm, trauma","injury, injure, harm, injure, assault physically, flaw"
11,harm,v,cause or do harm to,harm,"injury, injure, harm, injure, assault physically, flaw"
11,harmful,,Synonyms:,"More Synonyms: injurious, menacing, injurious, disastrous, hurtful, ending","injurious, menacing, injurious, disastrous, hurtful, ending"
11,harvest,v,"gather, as of natural products","reap, harvest, glean","crops, produce, full moon in autumn, season, collective task, develop"
11,hazard,n,a source of danger; a possibility of incurring loss or misfortune,"hazard, jeopardy, peril, risk, endangerment","danger, chance, risk, four-way flashers, disaster, risk"
11,hence,adv,(used to introduce a logical conclusion) from that fact or reason or as a result,"therefore, hence, thence, thus, so","for that reason; therefore, suitably, distant, in another place, for that reason, therefore"
11,heritage,n,practices that are handed down from the past by tradition,heritage,"background, history, endowment, possessions, antique, gain"
11,hint,v,drop a hint; intimate by a hint,"hint, suggest","indication, indicate, attempt, attempt to get, suggestion, bring up"
11,honest,adj,not disposed to cheat or defraud; not deceptive or fraudulent,"honest, honorable","truthful, genuine, candidness, real, simple, abrupt"
11,husband,,,,
11,hybrid,n,"a word that is composed of parts from different languages (e.g., `monolingual’ has a Greek prefix and a Latin root)","loanblend, loan-blend, hybrid","mixture, mixture, various, mixed creation, combined, combination"
11,illustrate,v,clarify by giving an example of,"exemplify, illustrate, instance","demonstrate, explain, affirm, note, quote, explain"
11,imagine,v,form a mental image of something that is not present or that is not the case,"imagine, conceive of, ideate, envisage","dream up, assume, understand, believe, expect, assume"
11,implication,n,something that is inferred (deduced or entailed or implied),"deduction, entailment, implication","suggestion, hint, condemnation, conspiracy, parts, meaning"
11,imply,v,express or state indirectly,"imply, connote","indicate, hint, appeal, inform, mean, mean"
11,impose,v,compel to behave in a certain way,"enforce, impose","dictate, exploit, dispense, request, estimate, fool"
11,impossible,adj,not capable of occurring or being accomplished or dealt with,impossible,"hopeless, intolerable, allowable, humiliating, overstated, pessimistic"
11,incentive,n,a positive motivational influence,"incentive, inducement, motivator","inducement, hidden motive, payoff, incitement, help, stimulus"
11,incident,n,a single distinct event,incident,
11,incredible,adj,beyond belief or understanding,"incredible, unbelievable","unbelievable, marvelous, astonishing, strange, wonderful, imaginary"
11,independence,n,freedom from control or influence of another or others,"independence, independency","freedom, war of revolution, perseverance, freedom, Independence Day, freedom to act and make decisions"
11,indicator,n,a number or ratio (a value on a scale of measurement) derived from a series of observed facts; can reveal relative changes as a function of time,"index, index number, indicant, indicator","sign, pointed weapon or symbol, flight indicator, instrument panel, measure, indication"
11,induce,v,cause to arise,"induce, bring on","cause, start, influence, fascinate, start, generate"
11,infection,n,the pathological state resulting from the invasion of the body by pathogenic microorganisms,infection,"contamination, bacterium, blister, adulteration, pollution, ailment"
11,ingredient,n,a component of a mixture or compound,ingredient,"component, belief, part, component, element, vital element"
11,initiate,v,bring into being,"originate, initiate, start","start, teach, allow, start, unskilled, train"
11,initiate,v,take the lead or initiative in; participate in the development of,"initiate, pioneer","start, teach, allow, start, unskilled, train"
11,innovation,n,a creation (a new device or process) resulting from study and experimentation,"invention, innovation","change, alteration, change, deviation, invention, craze"
11,innovative,adj,ahead of the times,"advanced, forward-looking, innovative, modern","creative, unconventional, imaginative, ahead of one's time, pioneering, brilliant"
11,insider,n,an officer of a corporation or others who have access to private information about the corporation’s operations,insider,"trading of stocks by a company insider, accomplice, conspirator, transgression by someone inside a group"
11,insight,n,clear or deep perception of a situation,"penetration, insight","intuitiveness, intelligence, intuition, understanding, understanding, understanding"
11,insightful,,Synonyms:,"More Synonyms: perceptive, perceptive, perceptive, discriminating, experienced, educated","perceptive, perceptive, perceptive, discriminating, experienced, educated"
11,inspire,v,heighten or intensify,"inspire, animate, invigorate, enliven, exalt","encourage, start, influence, activate, convince, improve"
11,institutional,adj,relating to or constituting or involving an institution,institutional,
11,instructor,n,a person whose occupation is teaching,"teacher, instructor","educator, person who recommends, teaches, or otherwise helps, guide, adviser, teacher, colleague"
11,integrity,n,an undivided or unbroken completeness or totality with nothing wanting,"integrity, unity, wholeness","honor, completeness, purity, agreement, fixedness, believeableness"
11,intellectual,n,a person who uses the mind creatively,"intellectual, intellect",
11,intended,,Synonyms:,"More Synonyms: planned, intentional, bound for, promised, precise, person engaged to marry","planned, intentional, bound for, promised, precise, person engaged to marry"
11,inter,v,place in a grave or tomb,"bury, entomb, inhume, inter, lay to rest","bury, deposit, bury, bring to an end, kill"
11,intermediate,adj,lying between two extremes in time or space or state,intermediate,"middle, junior high school, normal, middle, guided missile, financier"
11,interpret,v,make sense of; assign a meaning to,"interpret, construe, see","define, examine, note, explain, clear up, opinion"
11,interpret,v,give an interpretation or explanation to,"rede, interpret","define, examine, note, explain, clear up, opinion"
11,interpretation,n,a mental representation of the meaning or significance of something,"interpretation, reading, version","understanding, statement, note, reply, adaptation, explanation"
