level,word,part_of_speech,definition,synonyms,more_synonyms,mnemonic,context_sentence,story_builder,mnemonic_source_url
11,allege,,Synonyms:,"More Synonyms: assert, blame, promote, insist, quote, demand right","assert, blame, promote, insist, quote, demand right",Think of 'allege' as 'all' to help remember it means Synonyms:.,I will use the word 'allege' in a sentence: It is Synonyms:.,"Yesterday, I had to ___ when I Synonyms:. Choices: [allege, play, jump].",
11,alliance,n,the state of being allied or confederated,"alliance, confederation","association, institution, similiarity, concurrence, group, alliance",Think of 'alliance' as 'all' to help remember it means the state of being allied or confederated.,The word 'alliance' is a thing: it means the state of being allied or confederated.,"Yesterday, I had to ___ when I the state of being allied or confederated. Choices: [alliance, play, jump].",
11,allocate,v,distribute according to a plan or set apart for a special purpose,"allocate, apportion","assign, coordinate, assign, allot, divide, give",Think of 'allocate' as 'all' to help remember it means distribute according to a plan or set apart for a special purpose.,We can 'allocate' when we distribute according to a plan or set apart for a special purpose.,"Yesterday, I had to ___ when I distribute according to a plan or set apart for a special purpose. Choices: [allocate, play, jump].",
11,ally,n,a friendly nation,ally,"friend, conspirator, associate, join, blend, helper",Think of 'ally' as 'all' to help remember it means a friendly nation.,The word 'ally' is a thing: it means a friendly nation.,"Yesterday, I had to ___ when I a friendly nation. Choices: [ally, play, jump].",
11,alter,v,cause to change; make different; cause a transformation,"change, alter, modify","change, sterilize, other side to personality, companion, change, adjust",Think of 'alter' as 'alt' to help remember it means cause to change; make different; cause a transformation.,We can 'alter' when we cause to change; make different; cause a transformation.,"Yesterday, I had to ___ when I cause to change; make different; cause a transformation. Choices: [alter, play, jump].",
11,animate,v,heighten or intensify,"inspire, animate, invigorate, enliven, exalt",,Think of 'animate' as 'ani' to help remember it means heighten or intensify.,We can 'animate' when we heighten or intensify.,"Yesterday, I had to ___ when I heighten or intensify. Choices: [animate, play, jump].",
11,apparent,adj,clearly revealed to the mind or the senses or judgment,"apparent, evident, manifest, patent, plain, unmistakable","seeming, obvious, person expected to take over, be clear, considerable, shameless",Think of 'apparent' as 'app' to help remember it means clearly revealed to the mind or the senses or judgment.,My toy is very 'apparent' because it is clearly revealed to the mind or the senses or judgment.,"Yesterday, I had to ___ when I clearly revealed to the mind or the senses or judgment. Choices: [apparent, play, jump].",
11,appearance,n,outward or visible aspect of a person or thing,"appearance, visual aspect","manifestation, characteristic, pretense, beginning, pretense, style",Think of 'appearance' as 'app' to help remember it means outward or visible aspect of a person or thing.,The word 'appearance' is a thing: it means outward or visible aspect of a person or thing.,"Yesterday, I had to ___ when I outward or visible aspect of a person or thing. Choices: [appearance, play, jump].",
11,appoint,v,create and charge with a task or function,"appoint, name, nominate, constitute","assign, furnish, authorize, assign, allocate, equip",Think of 'appoint' as 'app' to help remember it means create and charge with a task or function.,We can 'appoint' when we create and charge with a task or function.,"Yesterday, I had to ___ when I create and charge with a task or function. Choices: [appoint, play, jump].",
11,appointment,n,the act of putting a person into a non-elective position,"appointment, assignment, designation, naming","meeting, responsibility, job, furnishing(s), tryst, responsibility",Think of 'appointment' as 'app' to help remember it means the act of putting a person into a non-elective position.,The word 'appointment' is a thing: it means the act of putting a person into a non-elective position.,"Yesterday, I had to ___ when I the act of putting a person into a non-elective position. Choices: [appointment, play, jump].",
11,appreciate,v,recognize with gratitude; be grateful for,appreciate,"enjoy, increase, recognize, value, respect, understand",Think of 'appreciate' as 'app' to help remember it means recognize with gratitude; be grateful for.,We can 'appreciate' when we recognize with gratitude; be grateful for.,"Yesterday, I had to ___ when I recognize with gratitude; be grateful for. Choices: [appreciate, play, jump].",
11,arcade,n,a covered passageway with shops and stalls on either side,arcade,"covered way, balcony, collection of stores in one place",Think of 'arcade' as 'arc' to help remember it means a covered passageway with shops and stalls on either side.,The word 'arcade' is a thing: it means a covered passageway with shops and stalls on either side.,"Yesterday, I had to ___ when I a covered passageway with shops and stalls on either side. Choices: [arcade, play, jump].",
11,argue,v,present reasons and arguments,"argue, reason","fight, appeal, discuss, support, disturb, reply",Think of 'argue' as 'arg' to help remember it means present reasons and arguments.,We can 'argue' when we present reasons and arguments.,"Yesterday, I had to ___ when I present reasons and arguments. Choices: [argue, play, jump].",
11,arrange,v,put into a proper or systematic order,"arrange, set up","order, plan, orchestrate, serve, adapt, coordinate",Think of 'arrange' as 'arr' to help remember it means put into a proper or systematic order.,We can 'arrange' when we put into a proper or systematic order.,"Yesterday, I had to ___ when I put into a proper or systematic order. Choices: [arrange, play, jump].",
11,arrest,v,take into custody,"collar, nail, apprehend, arrest, pick up, nab, cop","capture, stopping, capture, stop, fascinate, heart attack",Think of 'arrest' as 'arr' to help remember it means take into custody.,We can 'arrest' when we take into custody.,"Yesterday, I had to ___ when I take into custody. Choices: [arrest, play, jump].",
11,assumption,n,a statement that is assumed to be true and from which a conclusion can be drawn,,,Think of 'assumption' as 'ass' to help remember it means a statement that is assumed to be true and from which a conclusion can be drawn.,The word 'assumption' is a thing: it means a statement that is assumed to be true and from which a conclusion can be drawn.,"Yesterday, I had to ___ when I a statement that is assumed to be true and from which a conclusion can be drawn. Choices: [assumption, play, jump].",
11,assurance,n,freedom from doubt; belief in yourself and your abilities,"assurance, self-assurance, confidence, self-confidence, authority, sureness","warranty, confidence, defense, arrogance, faith, deposit",Think of 'assurance' as 'ass' to help remember it means freedom from doubt; belief in yourself and your abilities.,The word 'assurance' is a thing: it means freedom from doubt; belief in yourself and your abilities.,"Yesterday, I had to ___ when I freedom from doubt; belief in yourself and your abilities. Choices: [assurance, play, jump].",
11,assure,v,make certain of,"guarantee, ensure, insure, assure, secure","convince, certify, clinch, restore, declare, secure",Think of 'assure' as 'ass' to help remember it means make certain of.,We can 'assure' when we make certain of.,"Yesterday, I had to ___ when I make certain of. Choices: [assure, play, jump].",
11,atlas,n,(Greek mythology) a Titan who was forced by Zeus to bear the sky on his shoulders,Atlas,"document, guide, chart, book of information",Think of 'atlas' as 'atl' to help remember it means (Greek mythology) a Titan who was forced by Zeus to bear the sky on his shoulders.,The word 'atlas' is a thing: it means (Greek mythology) a Titan who was forced by Zeus to bear the sky on his shoulders.,"Yesterday, I had to ___ when I (Greek mythology) a Titan who was forced by Zeus to bear the sky on his shoulders. Choices: [atlas, play, jump].",
11,attitude,n,a complex mental state involving beliefs and feelings and values and dispositions to act in certain ways,"attitude, mental attitude","outlook, stance, belligerent attitude, bad attitude, pretense, characteristic",Think of 'attitude' as 'att' to help remember it means a complex mental state involving beliefs and feelings and values and dispositions to act in certain ways.,The word 'attitude' is a thing: it means a complex mental state involving beliefs and feelings and values and dispositions to act in certain ways.,"Yesterday, I had to ___ when I a complex mental state involving beliefs and feelings and values and dispositions to act in certain ways. Choices: [attitude, play, jump].",
11,automate,v,make automatic or control or operate automatically,"automatize, automatise, automate",,Think of 'automate' as 'aut' to help remember it means make automatic or control or operate automatically.,We can 'automate' when we make automatic or control or operate automatically.,"Yesterday, I had to ___ when I make automatic or control or operate automatically. Choices: [automate, play, jump].",
11,ban,v,forbid the public distribution of ( a movie or a newspaper),"ban, censor","forbiddance, forbid, expel, trade prohibition, denouncement, prohibit",Think of 'ban' as 'ban' to help remember it means forbid the public distribution of ( a movie or a newspaper).,We can 'ban' when we forbid the public distribution of ( a movie or a newspaper).,"Yesterday, I had to ___ when I forbid the public distribution of ( a movie or a newspaper). Choices: [ban, play, jump].",
11,barrier,n,a structure or object that impedes free movement,barrier,"obstruction, difficulty, sound barrier, physical boundary to supersonic, block, obstruction",Think of 'barrier' as 'bar' to help remember it means a structure or object that impedes free movement.,The word 'barrier' is a thing: it means a structure or object that impedes free movement.,"Yesterday, I had to ___ when I a structure or object that impedes free movement. Choices: [barrier, play, jump].",
11,behalf,n,,behalf,"interest, for someone, advantage, alternatively, interest, benefit",Think of 'behalf' as 'beh' to help remember it means nan.,The word 'behalf' is a thing: it means nan.,"Yesterday, I had to ___ when I nan. Choices: [behalf, play, jump].",
11,belief,n,any cognitive content held as true,,,Think of 'belief' as 'bel' to help remember it means any cognitive content held as true.,The word 'belief' is a thing: it means any cognitive content held as true.,"Yesterday, I had to ___ when I any cognitive content held as true. Choices: [belief, play, jump].",
11,blend,v,combine into one,"blend, intermix, immingle, intermingle","mix, mix, harmonize, blending, debase, conform",Think of 'blend' as 'ble' to help remember it means combine into one.,We can 'blend' when we combine into one.,"Yesterday, I had to ___ when I combine into one. Choices: [blend, play, jump].",
11,bore,,Synonyms:,"More Synonyms: nuisance, drill, weary, irritate, harass, ammunition","nuisance, drill, weary, irritate, harass, ammunition",Think of 'bore' as 'bor' to help remember it means Synonyms:.,I will use the word 'bore' in a sentence: It is Synonyms:.,"Yesterday, I had to ___ when I Synonyms:. Choices: [bore, play, jump].",
11,boundless,,Synonyms:,"More Synonyms: endless, immeasurable, godlike, continuous, endless, infinite","endless, immeasurable, godlike, continuous, endless, infinite",Think of 'boundless' as 'bou' to help remember it means Synonyms:.,I will use the word 'boundless' in a sentence: It is Synonyms:.,"Yesterday, I had to ___ when I Synonyms:. Choices: [boundless, play, jump].",
11,brochure,n,a small book usually having a paper cover,"booklet, brochure, folder, leaflet, pamphlet","document, document, pamphlet, handbill, writing, publication",Think of 'brochure' as 'bro' to help remember it means a small book usually having a paper cover.,The word 'brochure' is a thing: it means a small book usually having a paper cover.,"Yesterday, I had to ___ when I a small book usually having a paper cover. Choices: [brochure, play, jump].",
11,broken,,Synonyms:,"More Synonyms: destroyed, discontinuous, defeated, not working, forgotten, stuttering","destroyed, discontinuous, defeated, not working, forgotten, stuttering",Think of 'broken' as 'bro' to help remember it means Synonyms:.,I will use the word 'broken' in a sentence: It is Synonyms:.,"Yesterday, I had to ___ when I Synonyms:. Choices: [broken, play, jump].",
11,brook,n,a natural stream of water smaller than a river (and often a tributary of a river),"brook, creek","stream, endure, permit, water, endure, stream",Think of 'brook' as 'bro' to help remember it means a natural stream of water smaller than a river (and often a tributary of a river).,The word 'brook' is a thing: it means a natural stream of water smaller than a river (and often a tributary of a river).,"Yesterday, I had to ___ when I a natural stream of water smaller than a river (and often a tributary of a river). Choices: [brook, play, jump].",
11,bulk,n,the property resulting from being or relating to the greater in number of two parts; the main part,"majority, bulk","largeness, main part, collection, quantity, finances, volume",Think of 'bulk' as 'bul' to help remember it means the property resulting from being or relating to the greater in number of two parts; the main part.,The word 'bulk' is a thing: it means the property resulting from being or relating to the greater in number of two parts; the main part.,"Yesterday, I had to ___ when I the property resulting from being or relating to the greater in number of two parts; the main part. Choices: [bulk, play, jump].",
11,capable,adj,(usually followed by `of’) having capacity or ability,capable,"able, capable, talented, strong, able, enough",Think of 'capable' as 'cap' to help remember it means (usually followed by `of’) having capacity or ability.,My toy is very 'capable' because it is (usually followed by `of’) having capacity or ability.,"Yesterday, I had to ___ when I (usually followed by `of’) having capacity or ability. Choices: [capable, play, jump].",
11,casual,adj,marked by blithe unconcern,"casual, insouciant, nonchalant","chance, nonchalant, unexpected, goalless, hint, remote",Think of 'casual' as 'cas' to help remember it means marked by blithe unconcern.,My toy is very 'casual' because it is marked by blithe unconcern.,"Yesterday, I had to ___ when I marked by blithe unconcern. Choices: [casual, play, jump].",
11,cater,v,"give what is desired or needed, especially support, food or sustenance","provide, supply, ply, cater","help, pamper, pamper, angled, angled, ingratiate","Think of 'cater' as 'cat' to help remember it means give what is desired or needed, especially support, food or sustenance.","We can 'cater' when we give what is desired or needed, especially support, food or sustenance.","Yesterday, I had to ___ when I give what is desired or needed, especially support, food or sustenance. Choices: [cater, play, jump].",
11,catholic,n,a member of a Catholic church,Catholic,"general, liberal, inclusive, universal, worldly-wise, spread out",Think of 'catholic' as 'cat' to help remember it means a member of a Catholic church.,The word 'catholic' is a thing: it means a member of a Catholic church.,"Yesterday, I had to ___ when I a member of a Catholic church. Choices: [catholic, play, jump].",
11,celebrate,v,behave as expected during of holidays or rites,"observe, celebrate, keep","commemorate, approve, bestow, honor, praise, make famous",Think of 'celebrate' as 'cel' to help remember it means behave as expected during of holidays or rites.,We can 'celebrate' when we behave as expected during of holidays or rites.,"Yesterday, I had to ___ when I behave as expected during of holidays or rites. Choices: [celebrate, play, jump].",
11,cellular,adj,relating to cells,cellular,"mobile telephone, cellular telephone, basic",Think of 'cellular' as 'cel' to help remember it means relating to cells.,My toy is very 'cellular' because it is relating to cells.,"Yesterday, I had to ___ when I relating to cells. Choices: [cellular, play, jump].",
11,census,n,a periodic count of the population,"census, nose count, nosecount","head count, population study, study of human population, system, number of people in a group, record",Think of 'census' as 'cen' to help remember it means a periodic count of the population.,The word 'census' is a thing: it means a periodic count of the population.,"Yesterday, I had to ___ when I a periodic count of the population. Choices: [census, play, jump].",
11,champion,n,someone who has won first place in a competition,"champion, champ, title-holder","excellent, defeater, advocate, expert, expert, publicist",Think of 'champion' as 'cha' to help remember it means someone who has won first place in a competition.,The word 'champion' is a thing: it means someone who has won first place in a competition.,"Yesterday, I had to ___ when I someone who has won first place in a competition. Choices: [champion, play, jump].",
11,charity,n,a foundation created to promote the public good (not for assistance to any particular individuals),charity,"generosity, kindness, appeal for funds, help, handout, unselfish concern",Think of 'charity' as 'cha' to help remember it means a foundation created to promote the public good (not for assistance to any particular individuals).,The word 'charity' is a thing: it means a foundation created to promote the public good (not for assistance to any particular individuals).,"Yesterday, I had to ___ when I a foundation created to promote the public good (not for assistance to any particular individuals). Choices: [charity, play, jump].",
11,charter,n,a document incorporating an institution and specifying its rights; includes the articles of incorporation and the certificate of incorporation,charter,"agreement, commission, original member, document, authorize, register",Think of 'charter' as 'cha' to help remember it means a document incorporating an institution and specifying its rights; includes the articles of incorporation and the certificate of incorporation.,The word 'charter' is a thing: it means a document incorporating an institution and specifying its rights; includes the articles of incorporation and the certificate of incorporation.,"Yesterday, I had to ___ when I a document incorporating an institution and specifying its rights; includes the articles of incorporation and the certificate of incorporation. Choices: [charter, play, jump].",
11,cheer,n,a cry or shout of approval,cheer,"support, please, encourage, happiness, approve, approval",Think of 'cheer' as 'che' to help remember it means a cry or shout of approval.,The word 'cheer' is a thing: it means a cry or shout of approval.,"Yesterday, I had to ___ when I a cry or shout of approval. Choices: [cheer, play, jump].",
11,chronic,adj,being long-lasting and recurrent or characterized by long suffering,chronic,"incessant, disorder involving extreme fatigue and weakness, normal, habitual, neverending, usual",Think of 'chronic' as 'chr' to help remember it means being long-lasting and recurrent or characterized by long suffering.,My toy is very 'chronic' because it is being long-lasting and recurrent or characterized by long suffering.,"Yesterday, I had to ___ when I being long-lasting and recurrent or characterized by long suffering. Choices: [chronic, play, jump].",
11,chronicle,v,record in chronological order; make a historical record,chronicle,"narrative, report, narrative, chronicle, history, collection",Think of 'chronicle' as 'chr' to help remember it means record in chronological order; make a historical record.,We can 'chronicle' when we record in chronological order; make a historical record.,"Yesterday, I had to ___ when I record in chronological order; make a historical record. Choices: [chronicle, play, jump].",
11,circumstance,n,a condition that accompanies or influences some event or activity,circumstance,"situation, luck, happening, fate, happening, difficulty",Think of 'circumstance' as 'cir' to help remember it means a condition that accompanies or influences some event or activity.,The word 'circumstance' is a thing: it means a condition that accompanies or influences some event or activity.,"Yesterday, I had to ___ when I a condition that accompanies or influences some event or activity. Choices: [circumstance, play, jump].",
11,cite,v,make reference to,"mention, advert, bring up, cite, name, refer","quote, subpoena, blame, affirm, promote, assert",Think of 'cite' as 'cit' to help remember it means make reference to.,We can 'cite' when we make reference to.,"Yesterday, I had to ___ when I make reference to. Choices: [cite, play, jump].",
11,classification,n,the act of distributing things into classes or categories of the same type,"categorization, categorisation, classification, compartmentalization, compartmentalisation, assortment","categorization, order, department, account, written or printed matter featuring a selection of objects, document",Think of 'classification' as 'cla' to help remember it means the act of distributing things into classes or categories of the same type.,The word 'classification' is a thing: it means the act of distributing things into classes or categories of the same type.,"Yesterday, I had to ___ when I the act of distributing things into classes or categories of the same type. Choices: [classification, play, jump].",
11,classify,v,arrange or order by classes or categories,"classify, class, sort, assort, sort out, separate","categorize, order, sort, categorize, systematize, shorten",Think of 'classify' as 'cla' to help remember it means arrange or order by classes or categories.,We can 'classify' when we arrange or order by classes or categories.,"Yesterday, I had to ___ when I arrange or order by classes or categories. Choices: [classify, play, jump].",
11,clause,n,(grammar) an expression including a subject and predicate but not constituting a complete sentence,clause,"provision, legal provision to get out of a contract, exemption based on circumstances, document, document, reply",Think of 'clause' as 'cla' to help remember it means (grammar) an expression including a subject and predicate but not constituting a complete sentence.,The word 'clause' is a thing: it means (grammar) an expression including a subject and predicate but not constituting a complete sentence.,"Yesterday, I had to ___ when I (grammar) an expression including a subject and predicate but not constituting a complete sentence. Choices: [clause, play, jump].",
11,climate,n,the weather in some location averaged over some long period of time,"climate, clime","weather, mood, air cooling, niceness, mood, surroundings",Think of 'climate' as 'cli' to help remember it means the weather in some location averaged over some long period of time.,The word 'climate' is a thing: it means the weather in some location averaged over some long period of time.,"Yesterday, I had to ___ when I the weather in some location averaged over some long period of time. Choices: [climate, play, jump].",
11,climb,v,go upward with gradual or continuous progress,"climb, climb up, mount, go up",,Think of 'climb' as 'cli' to help remember it means go upward with gradual or continuous progress.,We can 'climb' when we go upward with gradual or continuous progress.,"Yesterday, I had to ___ when I go upward with gradual or continuous progress. Choices: [climb, play, jump].",
11,cloud,n,"any collection of particles (e.g., smoke or dust) or gases that is visible",cloud,"mass, crowd, fog, confuse, state of great happiness, large ominous cloud","Think of 'cloud' as 'clo' to help remember it means any collection of particles (e.g., smoke or dust) or gases that is visible.","The word 'cloud' is a thing: it means any collection of particles (e.g., smoke or dust) or gases that is visible.","Yesterday, I had to ___ when I any collection of particles (e.g., smoke or dust) or gases that is visible. Choices: [cloud, play, jump].",
11,cluster,n,a grouping of a number of similar things,"bunch, clump, cluster, clustering","group, assemble, collection, collection, congregation, group",Think of 'cluster' as 'clu' to help remember it means a grouping of a number of similar things.,The word 'cluster' is a thing: it means a grouping of a number of similar things.,"Yesterday, I had to ___ when I a grouping of a number of similar things. Choices: [cluster, play, jump].",
11,coalition,n,an organization of people (or countries) involved in a pact or treaty,"alliance, coalition, alignment, alinement","alliance, association, association, group, association, combination",Think of 'coalition' as 'coa' to help remember it means an organization of people (or countries) involved in a pact or treaty.,The word 'coalition' is a thing: it means an organization of people (or countries) involved in a pact or treaty.,"Yesterday, I had to ___ when I an organization of people (or countries) involved in a pact or treaty. Choices: [coalition, play, jump].",
11,colleague,n,an associate that one works with,"colleague, co-worker, fellow worker, workfellow","associate, accomplice, conspirator, contact, friend, helper",Think of 'colleague' as 'col' to help remember it means an associate that one works with.,The word 'colleague' is a thing: it means an associate that one works with.,"Yesterday, I had to ___ when I an associate that one works with. Choices: [colleague, play, jump].",
11,collective,adj,done by or characteristic of individuals acting together,"corporate, collective","composite, cooperative farm, collective, known, family, unified",Think of 'collective' as 'col' to help remember it means done by or characteristic of individuals acting together.,My toy is very 'collective' because it is done by or characteristic of individuals acting together.,"Yesterday, I had to ___ when I done by or characteristic of individuals acting together. Choices: [collective, play, jump].",
11,combat,n,an engagement fought between two military forces,"combat, armed combat","battle, fight, military boot, psychological disorder caused by stress from war, military area of war, encounter",Think of 'combat' as 'com' to help remember it means an engagement fought between two military forces.,The word 'combat' is a thing: it means an engagement fought between two military forces.,"Yesterday, I had to ___ when I an engagement fought between two military forces. Choices: [combat, play, jump].",
11,comfortable,adj,providing or experiencing physical well-being or relief (`comfy’ is informal),"comfortable, comfy","cozy, wealthy, enough, ample, spacious, abundant",Think of 'comfortable' as 'com' to help remember it means providing or experiencing physical well-being or relief (`comfy’ is informal).,My toy is very 'comfortable' because it is providing or experiencing physical well-being or relief (`comfy’ is informal).,"Yesterday, I had to ___ when I providing or experiencing physical well-being or relief (`comfy’ is informal). Choices: [comfortable, play, jump].",
11,communicate,v,transmit information,"communicate, pass on, pass, pass along, put across","inform, exchange, link, confess, publicize, declare",Think of 'communicate' as 'com' to help remember it means transmit information.,We can 'communicate' when we transmit information.,"Yesterday, I had to ___ when I transmit information. Choices: [communicate, play, jump].",
11,compensation,n,something (such as money) given or received as payment or reparation (as for a service or loss or injury),compensation,,Think of 'compensation' as 'com' to help remember it means something (such as money) given or received as payment or reparation (as for a service or loss or injury).,The word 'compensation' is a thing: it means something (such as money) given or received as payment or reparation (as for a service or loss or injury).,"Yesterday, I had to ___ when I something (such as money) given or received as payment or reparation (as for a service or loss or injury). Choices: [compensation, play, jump].",
11,compete,v,compete for something; engage in a contest; measure oneself against others,"compete, vie, contend","challenge, equate, fight, copy, maintain, do",Think of 'compete' as 'com' to help remember it means compete for something; engage in a contest; measure oneself against others.,We can 'compete' when we compete for something; engage in a contest; measure oneself against others.,"Yesterday, I had to ___ when I compete for something; engage in a contest; measure oneself against others. Choices: [compete, play, jump].",
11,comply,v,"act in accordance with someone’s rules, commands, or wishes","comply, follow, abide by","abide by, agree, consent, conform, agree, adjust","Think of 'comply' as 'com' to help remember it means act in accordance with someone’s rules, commands, or wishes.","We can 'comply' when we act in accordance with someone’s rules, commands, or wishes.","Yesterday, I had to ___ when I act in accordance with someone’s rules, commands, or wishes. Choices: [comply, play, jump].",
11,compound,v,"make more intense, stronger, or more marked","intensify, compound, heighten, deepen","combination, combine, complicate, blending, mixture, mix","Think of 'compound' as 'com' to help remember it means make more intense, stronger, or more marked.","We can 'compound' when we make more intense, stronger, or more marked.","Yesterday, I had to ___ when I make more intense, stronger, or more marked. Choices: [compound, play, jump].",
11,comprise,v,be composed of,"consist, comprise","make up, make up, include, made up of, include, include",Think of 'comprise' as 'com' to help remember it means be composed of.,We can 'comprise' when we be composed of.,"Yesterday, I had to ___ when I be composed of. Choices: [comprise, play, jump].",
11,concentrate,v,"make denser, stronger, or purer",concentrate,"think, gather, shorten, gather, focus, point","Think of 'concentrate' as 'con' to help remember it means make denser, stronger, or purer.","We can 'concentrate' when we make denser, stronger, or purer.","Yesterday, I had to ___ when I make denser, stronger, or purer. Choices: [concentrate, play, jump].",
11,concentration,n,the strength of a solution; number of molecules of a substance in a given volume,concentration,"consolidation, aggregation, prison camp for prisoners of war or political prisoners, engrossment, work, carefulness",Think of 'concentration' as 'con' to help remember it means the strength of a solution; number of molecules of a substance in a given volume.,The word 'concentration' is a thing: it means the strength of a solution; number of molecules of a substance in a given volume.,"Yesterday, I had to ___ when I the strength of a solution; number of molecules of a substance in a given volume. Choices: [concentration, play, jump].",
11,conclude,v,decide by reasoning; draw or come to a conclusion,"reason, reason out, conclude","finish, decide, settle, succeed, accomplish, coordinate",Think of 'conclude' as 'con' to help remember it means decide by reasoning; draw or come to a conclusion.,We can 'conclude' when we decide by reasoning; draw or come to a conclusion.,"Yesterday, I had to ___ when I decide by reasoning; draw or come to a conclusion. Choices: [conclude, play, jump].",
11,concrete,n,a strong hard building material composed of sand and gravel and cement and water,concrete,"factual, hardened, urban area, precise, real, urban area",Think of 'concrete' as 'con' to help remember it means a strong hard building material composed of sand and gravel and cement and water.,The word 'concrete' is a thing: it means a strong hard building material composed of sand and gravel and cement and water.,"Yesterday, I had to ___ when I a strong hard building material composed of sand and gravel and cement and water. Choices: [concrete, play, jump].",
