level,word,part_of_speech,definition,synonyms,more_synonyms,mnemonic,context_sentence,story_builder
11,assurance,n,freedom from doubt; belief in yourself and your abilities,"assurance, self-assurance, confidence, self-confidence, authority, sureness","warranty, confidence, defense, arrogance, faith, deposit",🔑 Remember: 'assurance' sounds like 'ass' and means freedom from doubt; belief in yourself and your abilities.,"The word 'assurance' is a thing, it means freedom from doubt; belief in yourself and your abilities.","During the big game, the team had to ___ if they wanted to freedom from doubt; belief in yourself and your abilities. Choices: [assurance, run, jump]"
11,assure,v,make certain of,"guarantee, ensure, insure, assure, secure","convince, certify, clinch, restore, declare, secure",🔑 Remember: 'assure' sounds like 'ass' and means make certain of.,Every day we can 'assure' when we make certain of.,"Sara’s teacher asked the class to ___ to show they could make certain of. Choices: [assure, draw, play]"
11,atlas,n,(Greek mythology) a Titan who was forced by Zeus to bear the sky on his shoulders,Atlas,"document, guide, chart, book of information",🔑 Remember: 'atlas' sounds like 'atl' and means (Greek mythology) a Titan who was forced by Zeus to bear the sky on his shoulders.,"The word 'atlas' is a thing, it means (Greek mythology) a Titan who was forced by Zeus to bear the sky on his shoulders.","Sara’s teacher asked the class to ___ to show they could (Greek mythology) a Titan who was forced by Zeus to bear the sky on his shoulders. Choices: [atlas, draw, play]"
11,attitude,n,a complex mental state involving beliefs and feelings and values and dispositions to act in certain ways,"attitude, mental attitude","outlook, stance, belligerent attitude, bad attitude, pretense, characteristic",🔑 Remember: 'attitude' sounds like 'att' and means a complex mental state involving beliefs and feelings and values and dispositions to act in certain ways.,"The word 'attitude' is a thing, it means a complex mental state involving beliefs and feelings and values and dispositions to act in certain ways.","On a sunny day, Mia decided to ___ while she a complex mental state involving beliefs and feelings and values and dispositions to act in certain ways. Choices: [attitude, sleep, laugh]"
11,automate,v,make automatic or control or operate automatically,"automatize, automatise, automate",,🔑 Remember: 'automate' sounds like 'aut' and means make automatic or control or operate automatically.,Every day we can 'automate' when we make automatic or control or operate automatically.,"Sara’s teacher asked the class to ___ to show they could make automatic or control or operate automatically. Choices: [automate, draw, play]"
11,ban,v,forbid the public distribution of ( a movie or a newspaper),"ban, censor","forbiddance, forbid, expel, trade prohibition, denouncement, prohibit",🔑 Remember: 'ban' sounds like 'ban' and means forbid the public distribution of ( a movie or a newspaper).,Every day we can 'ban' when we forbid the public distribution of ( a movie or a newspaper).,"Tom found a magic box that could ___ when he forbid the public distribution of ( a movie or a newspaper). Choices: [ban, dance, eat]"
11,barrier,n,a structure or object that impedes free movement,barrier,"obstruction, difficulty, sound barrier, physical boundary to supersonic, block, obstruction",🔑 Remember: 'barrier' sounds like 'bar' and means a structure or object that impedes free movement.,"The word 'barrier' is a thing, it means a structure or object that impedes free movement.","In the middle of the forest, animals love to ___ because they a structure or object that impedes free movement. Choices: [barrier, hide, sing]"
11,behalf,n,,behalf,"interest, for someone, advantage, alternatively, interest, benefit",🔑 Remember: 'behalf' sounds like 'beh' and means nan.,"The word 'behalf' is a thing, it means nan.","Tom found a magic box that could ___ when he nan. Choices: [behalf, dance, eat]"
11,belief,n,any cognitive content held as true,,,🔑 Remember: 'belief' sounds like 'bel' and means any cognitive content held as true.,"The word 'belief' is a thing, it means any cognitive content held as true.","Sara’s teacher asked the class to ___ to show they could any cognitive content held as true. Choices: [belief, draw, play]"
11,blend,v,combine into one,"blend, intermix, immingle, intermingle","mix, mix, harmonize, blending, debase, conform",🔑 Remember: 'blend' sounds like 'ble' and means combine into one.,Every day we can 'blend' when we combine into one.,"On a sunny day, Mia decided to ___ while she combine into one. Choices: [blend, sleep, laugh]"
11,bore,,Synonyms:,"More Synonyms: nuisance, drill, weary, irritate, harass, ammunition","nuisance, drill, weary, irritate, harass, ammunition",🔑 Remember: 'bore' sounds like 'bor' and means Synonyms:.,'bore' means Synonyms:.,"In the middle of the forest, animals love to ___ because they Synonyms:. Choices: [bore, hide, sing]"
11,boundless,,Synonyms:,"More Synonyms: endless, immeasurable, godlike, continuous, endless, infinite","endless, immeasurable, godlike, continuous, endless, infinite",🔑 Remember: 'boundless' sounds like 'bou' and means Synonyms:.,'boundless' means Synonyms:.,"On a snowy day, Mia decided to ___ while she Synonyms:. Choices: [boundless, sleep, laugh]"
11,brochure,n,a small book usually having a paper cover,"booklet, brochure, folder, leaflet, pamphlet","document, document, pamphlet, handbill, writing, publication",🔑 Remember: 'brochure' sounds like 'bro' and means a small book usually having a paper cover.,"The word 'brochure' is a thing, it means a small book usually having a paper cover.","Sara’s teacher asked the class to ___ to show they could a small book usually having a paper cover. Choices: [brochure, draw, play]"
11,broken,,Synonyms:,"More Synonyms: destroyed, discontinuous, defeated, not working, forgotten, stuttering","destroyed, discontinuous, defeated, not working, forgotten, stuttering",🔑 Remember: 'broken' sounds like 'bro' and means Synonyms:.,'broken' means Synonyms:.,"Sara’s teacher asked the class to ___ to show they could Synonyms:. Choices: [broken, draw, play]"
11,brook,n,a natural stream of water smaller than a river (and often a tributary of a river),"brook, creek","stream, endure, permit, water, endure, stream",🔑 Remember: 'brook' sounds like 'bro' and means a natural stream of water smaller than a river (and often a tributary of a river).,"The word 'brook' is a thing, it means a natural stream of water smaller than a river (and often a tributary of a river).","On a sunny day, Mia decided to ___ while she a natural stream of water smaller than a river (and often a tributary of a river). Choices: [brook, sleep, laugh]"
11,bulk,n,the property resulting from being or relating to the greater in number of two parts; the main part,"majority, bulk","largeness, main part, collection, quantity, finances, volume",🔑 Remember: 'bulk' sounds like 'bul' and means the property resulting from being or relating to the greater in number of two parts; the main part.,"The word 'bulk' is a thing, it means the property resulting from being or relating to the greater in number of two parts; the main part.","On a snowy day, Mia decided to ___ while she the property resulting from being or relating to the greater in number of two parts; the main part. Choices: [bulk, sleep, laugh]"
11,capable,adj,(usually followed by `of’) having capacity or ability,capable,"able, capable, talented, strong, able, enough",🔑 Remember: 'capable' sounds like 'cap' and means (usually followed by `of’) having capacity or ability.,My dog is 'capable' because it is (usually followed by `of’) having capacity or ability.,"On a sunny day, Mia decided to ___ while she (usually followed by `of’) having capacity or ability. Choices: [capable, sleep, laugh]"
11,casual,adj,marked by blithe unconcern,"casual, insouciant, nonchalant","chance, nonchalant, unexpected, goalless, hint, remote",🔑 Remember: 'casual' sounds like 'cas' and means marked by blithe unconcern.,My dog is 'casual' because it is marked by blithe unconcern.,"In the middle of the forest, animals love to ___ because they marked by blithe unconcern. Choices: [casual, hide, sing]"
11,cater,v,"give what is desired or needed, especially support, food or sustenance","provide, supply, ply, cater","help, pamper, pamper, angled, angled, ingratiate","🔑 Remember: 'cater' sounds like 'cat' and means give what is desired or needed, especially support, food or sustenance.","Every day we can 'cater' when we give what is desired or needed, especially support, food or sustenance.","Sara’s teacher asked the class to ___ to show they could give what is desired or needed, especially support, food or sustenance. Choices: [cater, draw, play]"
11,catholic,n,a member of a Catholic church,Catholic,"general, liberal, inclusive, universal, worldly-wise, spread out",🔑 Remember: 'catholic' sounds like 'cat' and means a member of a Catholic church.,"The word 'catholic' is a thing, it means a member of a Catholic church.","Sara’s teacher asked the class to ___ to show they could a member of a Catholic church. Choices: [catholic, draw, play]"
11,celebrate,v,behave as expected during of holidays or rites,"observe, celebrate, keep","commemorate, approve, bestow, honor, praise, make famous",🔑 Remember: 'celebrate' sounds like 'cel' and means behave as expected during of holidays or rites.,Every day we can 'celebrate' when we behave as expected during of holidays or rites.,"In the middle of the forest, animals love to ___ because they behave as expected during of holidays or rites. Choices: [celebrate, hide, sing]"
11,cellular,adj,relating to cells,cellular,"mobile telephone, cellular telephone, basic",🔑 Remember: 'cellular' sounds like 'cel' and means relating to cells.,My dog is 'cellular' because it is relating to cells.,"Sara’s teacher asked the class to ___ to show they could relating to cells. Choices: [cellular, draw, play]"
11,census,n,a periodic count of the population,"census, nose count, nosecount","head count, population study, study of human population, system, number of people in a group, record",🔑 Remember: 'census' sounds like 'cen' and means a periodic count of the population.,"The word 'census' is a thing, it means a periodic count of the population.","Sara’s teacher asked the class to ___ to show they could a periodic count of the population. Choices: [census, draw, play]"
11,champion,n,someone who has won first place in a competition,"champion, champ, title-holder","excellent, defeater, advocate, expert, expert, publicist",🔑 Remember: 'champion' sounds like 'cha' and means someone who has won first place in a competition.,"The word 'champion' is a thing, it means someone who has won first place in a competition.","During the big game, the team had to ___ if they wanted to someone who has won first place in a competition. Choices: [champion, run, jump]"
11,charity,n,a foundation created to promote the public good (not for assistance to any particular individuals),charity,"generosity, kindness, appeal for funds, help, handout, unselfish concern",🔑 Remember: 'charity' sounds like 'cha' and means a foundation created to promote the public good (not for assistance to any particular individuals).,"The word 'charity' is a thing, it means a foundation created to promote the public good (not for assistance to any particular individuals).","On a rainy day, Mia decided to ___ while she a foundation created to promote the public good (not for assistance to any particular individuals). Choices: [charity, sleep, laugh]"
11,charter,n,a document incorporating an institution and specifying its rights; includes the articles of incorporation and the certificate of incorporation,charter,"agreement, commission, original member, document, authorize, register",🔑 Remember: 'charter' sounds like 'cha' and means a document incorporating an institution and specifying its rights; includes the articles of incorporation and the certificate of incorporation.,"The word 'charter' is a thing, it means a document incorporating an institution and specifying its rights; includes the articles of incorporation and the certificate of incorporation.","During the big game, the team had to ___ if they wanted to a document incorporating an institution and specifying its rights; includes the articles of incorporation and the certificate of incorporation. Choices: [charter, run, jump]"
11,cheer,n,a cry or shout of approval,cheer,"support, please, encourage, happiness, approve, approval",🔑 Remember: 'cheer' sounds like 'che' and means a cry or shout of approval.,"The word 'cheer' is a thing, it means a cry or shout of approval.","During the big game, the team had to ___ if they wanted to a cry or shout of approval. Choices: [cheer, run, jump]"
11,chronic,adj,being long-lasting and recurrent or characterized by long suffering,chronic,"incessant, disorder involving extreme fatigue and weakness, normal, habitual, neverending, usual",🔑 Remember: 'chronic' sounds like 'chr' and means being long-lasting and recurrent or characterized by long suffering.,My dog is 'chronic' because it is being long-lasting and recurrent or characterized by long suffering.,"On a snowy day, Mia decided to ___ while she being long-lasting and recurrent or characterized by long suffering. Choices: [chronic, sleep, laugh]"
11,chronicle,v,record in chronological order; make a historical record,chronicle,"narrative, report, narrative, chronicle, history, collection",🔑 Remember: 'chronicle' sounds like 'chr' and means record in chronological order; make a historical record.,Every day we can 'chronicle' when we record in chronological order; make a historical record.,"Sara’s teacher asked the class to ___ to show they could record in chronological order; make a historical record. Choices: [chronicle, draw, play]"
11,circumstance,n,a condition that accompanies or influences some event or activity,circumstance,"situation, luck, happening, fate, happening, difficulty",🔑 Remember: 'circumstance' sounds like 'cir' and means a condition that accompanies or influences some event or activity.,"The word 'circumstance' is a thing, it means a condition that accompanies or influences some event or activity.","Sara’s teacher asked the class to ___ to show they could a condition that accompanies or influences some event or activity. Choices: [circumstance, draw, play]"
11,cite,v,make reference to,"mention, advert, bring up, cite, name, refer","quote, subpoena, blame, affirm, promote, assert",🔑 Remember: 'cite' sounds like 'cit' and means make reference to.,Every day we can 'cite' when we make reference to.,"Sara’s teacher asked the class to ___ to show they could make reference to. Choices: [cite, draw, play]"
11,classification,n,the act of distributing things into classes or categories of the same type,"categorization, categorisation, classification, compartmentalization, compartmentalisation, assortment","categorization, order, department, account, written or printed matter featuring a selection of objects, document",🔑 Remember: 'classification' sounds like 'cla' and means the act of distributing things into classes or categories of the same type.,"The word 'classification' is a thing, it means the act of distributing things into classes or categories of the same type.","During the big game, the team had to ___ if they wanted to the act of distributing things into classes or categories of the same type. Choices: [classification, run, jump]"
11,classify,v,arrange or order by classes or categories,"classify, class, sort, assort, sort out, separate","categorize, order, sort, categorize, systematize, shorten",🔑 Remember: 'classify' sounds like 'cla' and means arrange or order by classes or categories.,Every day we can 'classify' when we arrange or order by classes or categories.,"On a sunny day, Mia decided to ___ while she arrange or order by classes or categories. Choices: [classify, sleep, laugh]"
11,clause,n,(grammar) an expression including a subject and predicate but not constituting a complete sentence,clause,"provision, legal provision to get out of a contract, exemption based on circumstances, document, document, reply",🔑 Remember: 'clause' sounds like 'cla' and means (grammar) an expression including a subject and predicate but not constituting a complete sentence.,"The word 'clause' is a thing, it means (grammar) an expression including a subject and predicate but not constituting a complete sentence.","During the big game, the team had to ___ if they wanted to (grammar) an expression including a subject and predicate but not constituting a complete sentence. Choices: [clause, run, jump]"
11,climate,n,the weather in some location averaged over some long period of time,"climate, clime","weather, mood, air cooling, niceness, mood, surroundings",🔑 Remember: 'climate' sounds like 'cli' and means the weather in some location averaged over some long period of time.,"The word 'climate' is a thing, it means the weather in some location averaged over some long period of time.","During the big game, the team had to ___ if they wanted to the weather in some location averaged over some long period of time. Choices: [climate, run, jump]"
11,climb,v,go upward with gradual or continuous progress,"climb, climb up, mount, go up",,🔑 Remember: 'climb' sounds like 'cli' and means go upward with gradual or continuous progress.,Every day we can 'climb' when we go upward with gradual or continuous progress.,"Sara’s teacher asked the class to ___ to show they could go upward with gradual or continuous progress. Choices: [climb, draw, play]"
11,cloud,n,"any collection of particles (e.g., smoke or dust) or gases that is visible",cloud,"mass, crowd, fog, confuse, state of great happiness, large ominous cloud","🔑 Remember: 'cloud' sounds like 'clo' and means any collection of particles (e.g., smoke or dust) or gases that is visible.","The word 'cloud' is a thing, it means any collection of particles (e.g., smoke or dust) or gases that is visible.","Tom found a magic box that could ___ when he any collection of particles (e.g., smoke or dust) or gases that is visible. Choices: [cloud, dance, eat]"
11,cluster,n,a grouping of a number of similar things,"bunch, clump, cluster, clustering","group, assemble, collection, collection, congregation, group",🔑 Remember: 'cluster' sounds like 'clu' and means a grouping of a number of similar things.,"The word 'cluster' is a thing, it means a grouping of a number of similar things.","During the big game, the team had to ___ if they wanted to a grouping of a number of similar things. Choices: [cluster, run, jump]"
11,coalition,n,an organization of people (or countries) involved in a pact or treaty,"alliance, coalition, alignment, alinement","alliance, association, association, group, association, combination",🔑 Remember: 'coalition' sounds like 'coa' and means an organization of people (or countries) involved in a pact or treaty.,"The word 'coalition' is a thing, it means an organization of people (or countries) involved in a pact or treaty.","During the big game, the team had to ___ if they wanted to an organization of people (or countries) involved in a pact or treaty. Choices: [coalition, run, jump]"
11,colleague,n,an associate that one works with,"colleague, co-worker, fellow worker, workfellow","associate, accomplice, conspirator, contact, friend, helper",🔑 Remember: 'colleague' sounds like 'col' and means an associate that one works with.,"The word 'colleague' is a thing, it means an associate that one works with.","Tom found a magic box that could ___ when he an associate that one works with. Choices: [colleague, dance, eat]"
11,collective,adj,done by or characteristic of individuals acting together,"corporate, collective","composite, cooperative farm, collective, known, family, unified",🔑 Remember: 'collective' sounds like 'col' and means done by or characteristic of individuals acting together.,My dog is 'collective' because it is done by or characteristic of individuals acting together.,"Sara’s teacher asked the class to ___ to show they could done by or characteristic of individuals acting together. Choices: [collective, draw, play]"
11,combat,n,an engagement fought between two military forces,"combat, armed combat","battle, fight, military boot, psychological disorder caused by stress from war, military area of war, encounter",🔑 Remember: 'combat' sounds like 'com' and means an engagement fought between two military forces.,"The word 'combat' is a thing, it means an engagement fought between two military forces.","On a rainy day, Mia decided to ___ while she an engagement fought between two military forces. Choices: [combat, sleep, laugh]"
11,comfortable,adj,providing or experiencing physical well-being or relief (`comfy’ is informal),"comfortable, comfy","cozy, wealthy, enough, ample, spacious, abundant",🔑 Remember: 'comfortable' sounds like 'com' and means providing or experiencing physical well-being or relief (`comfy’ is informal).,My dog is 'comfortable' because it is providing or experiencing physical well-being or relief (`comfy’ is informal).,"Tom found a magic box that could ___ when he providing or experiencing physical well-being or relief (`comfy’ is informal). Choices: [comfortable, dance, eat]"
11,communicate,v,transmit information,"communicate, pass on, pass, pass along, put across","inform, exchange, link, confess, publicize, declare",🔑 Remember: 'communicate' sounds like 'com' and means transmit information.,Every day we can 'communicate' when we transmit information.,"During the big game, the team had to ___ if they wanted to transmit information. Choices: [communicate, run, jump]"
11,compensation,n,something (such as money) given or received as payment or reparation (as for a service or loss or injury),compensation,,🔑 Remember: 'compensation' sounds like 'com' and means something (such as money) given or received as payment or reparation (as for a service or loss or injury).,"The word 'compensation' is a thing, it means something (such as money) given or received as payment or reparation (as for a service or loss or injury).","In the middle of the forest, animals love to ___ because they something (such as money) given or received as payment or reparation (as for a service or loss or injury). Choices: [compensation, hide, sing]"
11,compete,v,compete for something; engage in a contest; measure oneself against others,"compete, vie, contend","challenge, equate, fight, copy, maintain, do",🔑 Remember: 'compete' sounds like 'com' and means compete for something; engage in a contest; measure oneself against others.,Every day we can 'compete' when we compete for something; engage in a contest; measure oneself against others.,"Tom found a magic box that could ___ when he compete for something; engage in a contest; measure oneself against others. Choices: [compete, dance, eat]"
11,comply,v,"act in accordance with someone’s rules, commands, or wishes","comply, follow, abide by","abide by, agree, consent, conform, agree, adjust","🔑 Remember: 'comply' sounds like 'com' and means act in accordance with someone’s rules, commands, or wishes.","Every day we can 'comply' when we act in accordance with someone’s rules, commands, or wishes.","On a sunny day, Mia decided to ___ while she act in accordance with someone’s rules, commands, or wishes. Choices: [comply, sleep, laugh]"
11,compound,v,"make more intense, stronger, or more marked","intensify, compound, heighten, deepen","combination, combine, complicate, blending, mixture, mix","🔑 Remember: 'compound' sounds like 'com' and means make more intense, stronger, or more marked.","Every day we can 'compound' when we make more intense, stronger, or more marked.","Sara’s teacher asked the class to ___ to show they could make more intense, stronger, or more marked. Choices: [compound, draw, play]"
11,comprise,v,be composed of,"consist, comprise","make up, make up, include, made up of, include, include",🔑 Remember: 'comprise' sounds like 'com' and means be composed of.,Every day we can 'comprise' when we be composed of.,"Sara’s teacher asked the class to ___ to show they could be composed of. Choices: [comprise, draw, play]"
